OBJECTID,District,Rank,County,Fwy,Name,Type,Shift,Direction,CA_PM,Beg_PM,Beg_Cty,Abs_PM,Abs_PM_upstream,Number_Days_Active,Avg_Extent__Miles_,Total_Delay__veh_hrs_,Route,longitude,latitude,Route_num,shn_District,shn_RouteType,shn_AlignCode,shn_Direction,shn_bPM,shn_ePM,_match_dist_m,_pm_in_range,district_mismatch,low_confidence_match
88,10,1,SJ,I205-W,W-O Mtn House Pkwy OC,ML,AM,W,0.76,R3.63,SJ,1.69,4.56,54,2.87,106665.5,205,-121.51673412695943,37.74186109988133,205,10,Interstate,Left,WB,0.0,2.979,0.0,True,False,False
71,10,2,SJ,SR99-S,N-O Off to Jack Tone Rd,ML,PM,S,2.888,5.558,SJ,238.76,241.43,54,2.67,37980.9,99,-121.16978990972932,37.76850546700391,99,10,State,Left,SB,0.0,38.783,0.0,True,False,False
72,10,3,SJ,SR99-S,N-O On From Main St,ML,PM,S,0.688,3.078,SJ,236.56,238.95,58,2.39,35734.5,99,-121.13584280328284,37.74820304129915,99,10,State,Left,SB,0.0,38.783,0.0,True,False,False
73,10,4,STA,SR99-S,Kansas Ave,ML,PM,S,R16.708,R19.018,STA,227.83,230.14,50,2.3,22877.3,99,-121.02638550993905,37.65791866970521,99,10,State,Left,SB,9.735,18.24,0.0,True,False,False
74,10,5,SJ,I5-S,S-O Charter Way,ML,PM,S,25.415,27.015,SJ,470.73,472.33,49,1.6,22642.2,5,-121.30299404255742,37.94759243346811,5,10,Interstate,Left,SB,24.064,49.819,0.0,True,False,False
75,10,6,STA,SR99-S,N-O K St S-O L St,ML,PM,S,R15.988,R17.398,STA,227.11,228.52,59,1.42,21301.4,99,-121.01460490595633,37.644805335127984,99,10,State,Left,SB,9.735,18.24,0.0,True,False,False
11,10,7,SJ,I205-E,E-O Tom Paine Slough,ML,PM,E,R11.94,R10.14,SJ,12.87,11.07,52,1.8,17020.4,205,-121.3618494766804,37.76491518972998,205,10,Interstate,Right,EB,2.979,13.398,0.0,True,False,False
33,10,8,SJ,I5-N,French Camp Turnpike,ML,PM,N,R23.421,R21.381,SJ,468.7,466.66,55,2.04,13331.9,5,-121.2830410927315,37.89535515738979,5,10,Interstate,Right,NB,11.2,24.064,0.0,True,False,False
89,10,9,SJ,I205-W,El Rancho Rd UC,ML,PM,W,R10.48,R12.18,SJ,11.41,13.11,49,1.7,11161.2,205,-121.35669179981096,37.765373894569755,205,10,Interstate,Left,WB,2.979,13.398,0.0,True,False,False
90,10,10,SJ,I205-W,E-O Tom Paine Slough,ML,PM,W,R12.2,R13.398,SJ,13.13,14.43,53,1.3,10425.9,205,-121.33495189333432,37.767368984479226,205,10,Interstate,Left,WB,2.979,13.398,0.0,True,False,False
34,11,1,SD,I15-N,15 NB S-O El Norte Pkwy,ML,PM,N,R32.623,M27.213,SD,32.88,27.47,56,5.41,204195.8,15,-117.09094903905842,33.10684773028621,15,11,Interstate,Right,NB,28.431,54.258,0.0,True,False,False
35,11,2,SD,I5-N,Lomas Santa Fe Dr EB to 5 NB,ML,PM,N,R37.585,R30.745R,SD,37.28,30.44,48,6.84,188569.2,5,-117.24366992989683,32.95059202379532,5,11,Interstate,Right,NB,31.188,55.155,0.0,True,False,False
76,11,3,SD,I805-S,805 SB @ University Ave.,ML,PM,S,15.989,24.599,SD,15.84,24.45,37,8.61,170206.6,805,-117.15310045207734,32.80461774830733,805,11,Interstate,Left,SB,0.149,28.874,0.0,True,False,False
77,11,4,SD,I805-S,805 SB N-O 15,ML,PM,S,15.379,24.079,SD,15.23,23.93,34,8.7,114848.3,805,-117.14893085799201,32.797332945361546,805,11,Interstate,Left,SB,0.149,28.874,0.0,True,False,False
36,11,5,SD,I15-N,15 NB HOV S-O Rte 78,HV,PM,N,R30.903,M25.433,SD,31.16,25.69,62,5.46,112240.8,15,-117.08014208128276,33.08422203561185,15,11,Interstate,Right,NB,28.431,54.258,0.0,True,False,False
78,11,6,SD,I5-S,5th Ave to 5 SB,ML,PM,S,R16.305,R18.655,SD,16,18.35,57,2.35,112237.3,5,-117.17340868354042,32.73335347471788,5,11,Interstate,Left,SB,14.859,30.345,0.0,True,False,False
79,11,7,SD,SR125-S,Grossmont Blvd to 125 SB,ML,PM,S,0.194,4.394,SD,1.83,6.03,62,4.2,79654.6,125,-116.96935647368151,32.62084208830561,125,11,State,Left,SB,0.0,8.467,0.0,True,False,False
12,11,8,SD,SR78-E,Barham-Woodland to 78 EB,ML,PM,E,14.824,10.144,SD,14.82,10.14,53,4.67,65458.2,78,-117.16995407189518,33.14093986160484,78,11,State,Right,EB,0.004,15.507,0.0,True,False,False
80,11,9,SD,I5-S,Seaworld Dr to 5 SB,ML,PM,S,R20.835,R28.675,SD,20.53,28.37,35,7.84,59250.1,5,-117.22295528396054,32.82257111206649,5,11,Interstate,Left,SB,14.859,30.345,0.0,True,False,False
37,11,10,SD,SR163-N,163 NB S-O I-8,ML,PM,N,3.341,0.531R,SD,2.79,0,62,2.9,54779.6,163,-117.1560406890943,32.73871100914729,163,11,State,Right,NB,0.628,10.435,0.0,True,False,False
38,12,1,ORA,SR55-N,TAFT,HV,PM,N,15.968,12.778,ORA,15.78,12.59,60,3.19,58993.8,55,-117.8312870246494,33.79745951398752,55,12,State,Right,NB,10.111,17.6,0.0,True,False,False
39,12,2,ORA,SR55-N,NEWPORT AVE OR MVDS,ML,PM,N,R9.93,R8.21,ORA,9.76,8.04,59,1.72,38706.5,55,-117.83908818011815,33.72224945220914,55,12,State,Right,NB,2.512,10.093,0.0,True,False,False
40,12,3,ORA,I405-N,BROOKHUR2,ML,PM,N,13.97,12.31,ORA,13.74,12.08,61,1.66,35168.1,405,-117.94506425520167,33.7003673978504,405,12,Interstate,Right,NB,0.23,24.178,0.0,True,False,False
81,12,4,ORA,I5-S,MAIN 1,ML,AM,S,33.198,34.298,ORA,105.19,106.29,58,1.11,34786.5,5,-117.8735334492593,33.775168330770526,5,12,Interstate,Left,SB,29.546,41.84,0.0,True,False,False
82,12,5,ORA,I405-S,HARBOR 1,ML,AM,S,11.2,13.23,ORA,10.97,13,44,2.03,27572.7,405,-117.9310396534527,33.69386507656584,405,12,Interstate,Left,SB,0.23,24.178,0.0,True,False,False
41,12,6,ORA,SR55-N,LINCOLN 2,ML,PM,N,17.288,15.238,ORA,17.1,15.05,48,2.06,26950.2,55,-117.83296895286259,33.82460513924266,55,12,State,Right,NB,10.111,17.6,0.0,True,False,False
83,12,7,ORA,I5-S,RED ROBIN,ML,PM,S,19.531,20.631,ORA,91.53,92.63,57,1.1,24221.8,5,-117.72297113345475,33.63029725208744,5,12,Interstate,Left,SB,0.0,23.259,0.0,True,False,False
84,12,8,ORA,I405-S,WARNER,ML,AM,S,14.72,16.04,ORA,14.49,15.81,54,1.32,23678.5,405,-117.97422681432656,33.721567270791674,405,12,Interstate,Left,SB,0.23,24.178,0.0,True,False,False
42,12,9,ORA,I5-N,CULVER 1,HV,PM,N,R26.758,R24.728,ORA,98.82,96.79,43,2.03,21878.5,5,-117.77461384386224,33.699566928661184,5,12,Interstate,Right,NB,23.259,27.322,0.0,True,False,False
43,12,10,ORA,I5-N,YALE,ML,PM,N,R25.998,R25.178,ORA,98.06,97.24,55,0.82,20143.3,5,-117.77322025381295,33.697631306959195,5,12,Interstate,Right,NB,23.259,27.322,0.0,True,False,False
