Bridge_Type,BRIDGE,NAME,District_Label,DIST,County_Name,CO,CITY,RTE,PM,YRBLT,Age,Decade_Built,LAT,LON,LENG,MAINSPANS,APPSPANS,DECKWIDTH,DESIGN_MAIN,MATERIAL_MAIN,FAC,LOC,INTERSEC,DATA_EXTRACTED,X,Y,OBJECTID
State Highway,01 0002,MINOT CREEK,District 1,01,Del Norte,DN,00000,00101,8.14,1957.0,69.0,1950,41.55361944,-124.05490278,14.3,1.0,0.0,16.8,02: Stringer/Multi-Beam,5: Prestress Conc,U.S. HIGHWAY 101,01-DN-101-8.14,MINOT CREEK,2024/03/12 09:26:26+00,-13809728.6077,5094346.5671,1
State Highway,01 0004,HIGH PRAIRIE CREEK,District 1,01,Del Norte,DN,00000,00101,9.39,1957.0,69.0,1950,41.56820278,-124.068925,28.0,2.0,0.0,13.3,02: Stringer/Multi-Beam,5: Prestress Conc,U.S. HIGHWAY 101,01-DN-101-9.39,HIGH PRAIRIE CREEK,2024/03/12 09:26:26+00,-13811289.5543,5096516.1728,2
State Highway,01 0005,WILSON CREEK (LOUIS P DEMARTIN SR MEMORIAL BRIDGE),District 1,01,Del Norte,DN,00000,00101,12.64,1957.0,69.0,1950,41.60438611,-124.10074444,85.3,3.0,0.0,19.3,05: Box Beam Or Gdr - Mu,2: Concrete Cont,U.S. HIGHWAY 101,01-DN-101-12.64,WILSON CREEK,2024/03/12 09:26:26+00,-13814831.6786,5101901.3901,3
State Highway,01 0006,SMITH RIVER (HIOUCHI BRIDGE),District 1,01,Del Norte,DN,00000,00199,4.22,1990.0,36.0,1990,41.80669167,-124.08253889,208.5,3.0,0.0,12.2,05: Box Beam Or Gdr - Mu,6: Prstr Conc Cont,U.S. HIGHWAY 199,01-DN-199-4.22,SMITH RIVER,2024/03/12 09:26:26+00,-13812805.0455,5132066.6325,4
State Highway,01 0007,MYRTLE CREEK,District 1,01,Del Norte,DN,00000,00199,7.09,1984.0,42.0,1980,41.80132423,-124.05574397,76.2,1.0,6.0,10.8,11: Arch - Deck,2: Concrete Cont,U.S. HIGHWAY 199,01-DN-199-7.09,MYRTLE CREEK,2024/03/12 09:26:26+00,-13809822.2488,5131265.08,5
State Highway,01 0009,SMITH RIVER (MARY ADAMS PEACOCK MEMORIAL BRIDGE),District 1,01,Del Norte,DN,00000,00199,,1985.0,41.0,1980,41.84243056,-124.01191111,113.1,3.0,0.0,10.8,05: Box Beam Or Gdr - Mu,6: Prstr Conc Cont,U.S. HIGHWAY 199,01-DN-199-R11.95,SMITH RIVER,2024/03/12 09:26:26+00,-13804942.7972,5137405.4508,6
State Highway,01 0012,MIDDLE FORK SMITH RIVER,District 1,01,Del Norte,DN,00000,00199,,1965.0,61.0,1960,41.85752607,-123.88599125,100.9,3.0,0.0,18.9,05: Box Beam Or Gdr - Mu,2: Concrete Cont,U.S. HIGHWAY 199,01-DN-199-R19.22,MIDDLE FORK SMITH RIVER,2024/03/12 09:26:26+00,-13790925.4621,5139661.3744,7
State Highway,01 0014,PATRICK CREEK,District 1,01,Del Norte,DN,00000,00199,,1965.0,61.0,1960,41.87448619,-123.84392262,40.5,3.0,0.0,10.4,05: Box Beam Or Gdr - Mu,2: Concrete Cont,U.S. HIGHWAY 199,01-DN-199-R22.07,PATRICK CREEK,2024/03/12 09:26:26+00,-13786242.4038,5142196.5878,8
State Highway,01 0015,MIDDLE FORK SMITH RIVER,District 1,01,Del Norte,DN,00000,00199,24.08,1925.0,101.0,1920,41.87983879,-123.82716035,45.4,1.0,7.0,7.6,11: Arch - Deck,1: Concrete,U.S. HIGHWAY 199,01-DN-199-24.08,MIDDLE FORK SMITH RIVER,2024/03/12 09:26:26+00,-13784376.4363,5142996.837,9
State Highway,01 0016,MIDDLE FORK SMITH RIV (ALLEN F LEHMAN MEMORIAL BR),District 1,01,Del Norte,DN,00000,00199,,1985.0,41.0,1980,41.88285556,-123.818775,71.6,3.0,0.0,10.8,05: Box Beam Or Gdr - Mu,2: Concrete Cont,U.S. HIGHWAY 199,01-DN-199-R24.88,MIDDLE FORK SMITH RIVER,2024/03/12 09:26:26+00,-13783442.9836,5143447.8945,10
