OBJECTID,RTE,RTE_SFX,DISTRICT,CNTY,PM_PFX,POSTMILE,PM_SFX,LEG,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,EAL,EST_YEAR,EST_CODE,longitude,latitude,RouteType,route_type_matched
1,101,,1,DN,R,30.81,,A,JCT. RTE. 199 NORTHEAST,8000,675,8.44,86,19,V,-124.14827545577558,41.803426363735156,US,True
3,101,,1,DN,R,30.81,,B,JCT. RTE. 199 NORTHEAST,9900,671,6.78,108,18,V,-124.14827545577558,41.803426363735156,US,True
5,101,,1,DN,R,4.638,,A,"KLAMATH, JCT. RTE. 169 SOUTHEAST",4300,481,11.19,72,16,V,-124.03412082293056,41.52303074470984,US,True
7,101,,1,DN,R,4.638,,B,"KLAMATH, JCT. RTE. 169 SOUTHEAST",5100,616,12.08,87,19,V,-124.03412082293056,41.52303074470984,US,True
9,101,,1,DN,,24.41,,A,SANDMINE ROAD,4300,560,13.02,86,19,V,-124.16254854657645,41.740154105324585,US,True
11,101,,1,DN,,24.41,,B,SANDMINE ROAD,4200,722,17.19,101,19,V,-124.16254854657645,41.740154105324585,US,True
13,101,,1,DN,,27.01,,A,"CRESCENT CITY, NORTHCREST DRIVE",15300,1469,9.6,193,16,E,-124.19679749141831,41.76328890524324,US,True
15,101,,1,DN,,27.01,,B,"CRESCENT CITY, NORTHCREST DRIVE",20000,1000,5.0,140,16,E,-124.19679749141831,41.76328890524324,US,True
17,101,,1,DN,,36.31,,B,JCT. RTE. 197 SOUTHEAST,7200,641,8.9,71,16,E,-124.13672917856177,41.881555098788745,US,True
19,101,,1,DN,,39.82,,B,FRED HAIGHT DRIVE,7200,846,11.75,105,19,V,-124.14590595607591,41.93004948594902,US,True
21,101,,1,DN,,46.492,,B,OREGON STATE LINE,8670,841,9.7,90,16,E,-124.20831630264229,41.9984745528261,US,True
23,101,,1,HUM,R,11.125,,A,"GARBERVILLE, SPROWEL CREEK ROAD",7300,810,11.1,170,16,E,-123.79669478718735,40.09873418207514,US,True
25,101,,1,HUM,R,11.125,,B,"GARBERVILLE, SPROWEL CREEK ROAD",7200,799,11.1,167,18,E,-123.79669478718735,40.09873418207514,US,True
27,101,,1,HUM,R,17.907,,A,JCT. RTE. 254 NORTHEAST,6600,733,11.1,154,18,E,-123.7759997823541,40.18198774119699,US,True
29,101,,1,HUM,R,17.907,,B,JCT. RTE. 254 NORTHEAST,7500,833,11.1,175,18,E,-123.7759997823541,40.18198774119699,US,True
31,101,,1,HUM,R,50.585,,A,SOUTH SCOTIA ROAD,9100,679,7.46,90,18,E,-124.09548044244845,40.468253343669886,US,True
33,101,,1,HUM,R,90.134,,A,JCT. RTE. 200 EAST,19000,1265,6.66,117,18,E,-124.09858583394403,40.92110284212044,US,True
35,101,,1,HUM,R,90.134,,B,JCT. RTE. 200 EAST,34000,2264,6.66,210,18,E,-124.09858583394403,40.92110284212044,US,True
37,101,,1,HUM,R,97.02,,A,CRANNELL ROAD,10490,699,6.66,65,18,E,-124.10784688331331,41.013509079262384,US,True
39,101,,1,HUM,R,97.02,,B,CRANNELL ROAD,10700,713,6.66,66,18,E,-124.10784688331331,41.013509079262384,US,True
41,101,,1,HUM,,107.67,,A,PATRICKS POINT,4400,732,16.64,53,22,E,-124.135188908311,41.15027466818197,US,True
43,101,,1,HUM,,122.25,,A,BALD HILLS ROAD,3400,910,26.76,78,21,E,-124.04780858317041,41.301753379306064,US,True
45,101,,1,HUM,,122.25,,B,BALD HILLS ROAD,4900,634,12.94,63,22,V,-124.04780858317041,41.301753379306064,US,True
47,101,,1,HUM,,27.936,,A,JCT. RTE. 254,7200,799,11.1,167,18,E,-123.87014540164608,40.266459713749356,US,True
