OBJECTID,FACILITY_NAME,ROUTE,DIRECTION,LOCATION,COUNTY,POST_MILE,District,Latitude,Longitude
2,BUCKHORN,299.0,Westbound,7.4 miles East of Junction of Hwy 101,Humboldt,R7.38,1,40.884478,-123.96298
1,LITTLE RIVER,101.0,Southbound,8.8 miles North of Junction of Hwy 299,Humboldt,R97.14,1,41.015355,-124.107715
3,RIDGEWOOD,101.0,Southbound,5 miles South of Junction of Hwy 20,Mendocino,41.17,1,39.34316,-123.317377
5,COTTONWOOD,5.0,Northbound,12.5 miles North of Junction of Hwy 36,Tehama,40.46,2,40.352284,-122.281179
6,COTTONWOOD,5.0,Southbound,12.8 miles North of Junction of Hwy 36,Tehama,40.74,2,40.356295,-122.283688
4,DUNSMUIR GRADE,5.0,Southbound,1.6 miles South of Junction of Hwy 89,Siskiyou,R6.98,2,41.270751,-122.280801
8,KEDDIE,70.0,Westbound,0.1 miles west of Junction of Hwy 89,Plumas,32.97,2,40.038024,-120.984706
7,WHISKEYTOWN,299.0,Eastbound,1.2 miles West of Whiskey town(Exit:- Whiskey Creek Rd),Shasta,12.74,2,40.646492,-122.57568
10,ANTELOPE,80.0,Westbound,6.3 miles west of Junction of Hwy 65 (Roseville),Sacramento,15.81,3,38.698098,-121.320651
11,ANTELOPE,80.0,Eastbound,6.1 miles west of Junction of Hwy 65 (Roseville),Sacramento,16.04,3,38.700029,-121.316889
12,CAMINO,50.0,Westbound,4.3 miles West of Pollock Pines,El Dorado,R27.18,3,38.744415,-120.646757
9,DONNER PASS,80.0,Westbound,2.7 miles east of Junction of Hwy 89/267 (Truckee),Nevada,19.24,3,39.362026,-120.131269
13,CORDELIA,80.0,Eastbound,1.9 miles East of Junction of Hwy 680 (Cordelia),Solano,14.8,4,38.232205,-122.108045
14,CORDELIA,80.0,Westbound,1.4 miles East of Junction of Hwy 680 (Cordelia),Solano,14.29,4,38.229725,-122.116952
18,GILROY,101.0,Southbound,1.3 miles South of Junction of Hwy 152 (Leavesley Rd),Santa Clara,R8.88,4,37.040134,-121.576896
19,GILROY,101.0,Northbound,3.8 miles South of Junction of Hwy 152 (Leavesley Rd),Santa Clara,R11.34,4,37.074024,-121.591038
24,LIVERMORE,580.0,Westbound,11.5 miles East of Junction of Hwy 680 ,Alameda,R9.00,4,37.714283,-121.712496
25,LIVERMORE,580.0,Eastbound,11.5 miles East of Junction of Hwy 680 ,Alameda.,R9.08,4,37.712942,-121.713509
